Predicted Emotion,Probability
neutral,0.60046375
neutral,0.5049204
neutral,0.6386714
neutral,0.6198655
neutral,0.55547094
neutral,0.5293134
neutral,0.6023186
neutral,0.5941763
neutral,0.52540374
neutral,0.5401612
neutral,0.49433768
neutral,0.5023361
neutral,0.39389724
neutral,0.39301687
sad,0.32742947
sad,0.25049177
neutral,0.2934842
neutral,0.53635114
neutral,0.6767074
neutral,0.82126415
neutral,0.7760982
neutral,0.87034494
neutral,0.86892885
neutral,0.82617027
neutral,0.904206
scared,0.34327695
scared,0.29739326
neutral,0.50031316
neutral,0.92987984
neutral,0.9080342
happy,0.7012317
neutral,0.91457677
neutral,0.84561795
neutral,0.7618689
neutral,0.68391514
neutral,0.7739214
