Predicted Emotion,Probability
neutral,0.60343
neutral,0.4719467
neutral,0.54012513
angry,0.41761714
neutral,0.6660337
neutral,0.44659036
neutral,0.543684
happy,0.6775821
angry,0.50959724
neutral,0.29028353
neutral,0.30275857
angry,0.30139586
angry,0.33338347
angry,0.34297025
angry,0.29897803
angry,0.33409306
angry,0.28796044
neutral,0.42956576
neutral,0.59994674
neutral,0.6276844
neutral,0.7395785
neutral,0.7962693
neutral,0.34112063
neutral,0.4885107
neutral,0.8492894
neutral,0.30659452
neutral,0.48845482
neutral,0.87026286
neutral,0.79977643
neutral,0.7275287
neutral,0.7461556
neutral,0.72250015
neutral,0.34923625
neutral,0.42583194
neutral,0.81580406
neutral,0.86450255
neutral,0.8626949
neutral,0.85665727
neutral,0.79254335
neutral,0.66734326
neutral,0.898993
neutral,0.7262523
neutral,0.34168914
neutral,0.7959498
scared,0.28644395
neutral,0.79244447
sad,0.31655434
neutral,0.40012768
happy,0.35174185
sad,0.32220483
neutral,0.6711977
neutral,0.57145864
neutral,0.27574208
neutral,0.47246453
neutral,0.48831415
happy,0.5037276
scared,0.5097836
neutral,0.7276209
neutral,0.6183904
neutral,0.7405587
neutral,0.716042
neutral,0.625114
neutral,0.6900943
neutral,0.6911681
neutral,0.69977117
neutral,0.7018815
neutral,0.680061
happy,0.6063789
happy,0.6189788
neutral,0.512372
neutral,0.7621796
happy,0.5965656
neutral,0.85280204
neutral,0.727066
angry,0.47784004
neutral,0.8694
neutral,0.79238415
neutral,0.7504573
angry,0.24451014
neutral,0.37032956
happy,0.784124
neutral,0.5296525
neutral,0.35749868
neutral,0.35749868
neutral,0.33653146
neutral,0.33653146
neutral,0.33653146
neutral,0.33653146
neutral,0.33653146
neutral,0.33653146
neutral,0.3367248
neutral,0.3367248
neutral,0.33614528
neutral,0.33773586
happy,0.32266864
neutral,0.57991993
neutral,0.32946143
happy,0.36957118
neutral,0.8555454
neutral,0.69178665
neutral,0.567435
neutral,0.44841897
neutral,0.55863875
neutral,0.4160669
scared,0.3867402
happy,0.36901
neutral,0.5242088
neutral,0.3451089
neutral,0.6061437
neutral,0.8741151
neutral,0.34963053
neutral,0.30805993
neutral,0.805041
neutral,0.5235453
neutral,0.8430026
sad,0.38441515
neutral,0.40359718
sad,0.38088152
sad,0.28414983
happy,0.32124707
happy,0.3326542
angry,0.3591259
sad,0.27192926
happy,0.31272528
happy,0.26615918
angry,0.2622955
angry,0.3143568
angry,0.2662473
neutral,0.25253358
angry,0.2501884
sad,0.27174792
sad,0.30031046
sad,0.31566018
sad,0.2605134
sad,0.2672705
happy,0.27919927
scared,0.42259777
neutral,0.5687038
happy,0.43016103
happy,0.63425195
neutral,0.5834882
neutral,0.7095268
neutral,0.3508437
neutral,0.46547422
scared,0.44225016
happy,0.45269796
neutral,0.42640787
happy,0.6683113
neutral,0.3394042
neutral,0.4734406
happy,0.81432694
happy,0.8038581
