Predicted Emotion,Probability
neutral,0.5485336
neutral,0.5485336
neutral,0.6677777
neutral,0.6677777
neutral,0.5872579
neutral,0.6840999
neutral,0.58856857
neutral,0.5997448
neutral,0.45340464
happy,0.6589444
neutral,0.74934345
happy,0.5542442
happy,0.5917838
happy,0.89921236
happy,0.90620273
happy,0.9143728
neutral,0.45065165
neutral,0.6168198
neutral,0.58376276
scared,0.45292306
scared,0.4078481
neutral,0.4860381
scared,0.5425088
scared,0.37166056
scared,0.4068182
scared,0.4372722
scared,0.5278998
scared,0.47325358
scared,0.32901987
scared,0.37743977
scared,0.3486029
scared,0.43984216
scared,0.6905804
neutral,0.3901632
scared,0.5979178
scared,0.6259449
neutral,0.359817
sad,0.38593695
scared,0.4127318
neutral,0.44066
neutral,0.53661394
scared,0.61870176
sad,0.4088225
scared,0.34679312
sad,0.3810463
neutral,0.43666506
neutral,0.32542777
neutral,0.41554752
neutral,0.54589856
neutral,0.31881094
neutral,0.46240777
neutral,0.52644956
neutral,0.389035
neutral,0.47783786
neutral,0.49469516
neutral,0.40090203
scared,0.39013174
scared,0.4250182
neutral,0.39529622
happy,0.27213344
happy,0.30322522
neutral,0.598536
neutral,0.42258397
happy,0.61540216
neutral,0.5324901
neutral,0.61522216
happy,0.39640337
happy,0.57296735
neutral,0.59881103
neutral,0.597251
neutral,0.57149374
neutral,0.48126164
neutral,0.5519549
neutral,0.4378862
neutral,0.6709917
neutral,0.6653817
neutral,0.7614172
neutral,0.69936615
neutral,0.6242165
neutral,0.59586453
neutral,0.64505124
neutral,0.6054731
neutral,0.6552772
neutral,0.4282184
happy,0.7973073
happy,0.6970115
neutral,0.4897701
neutral,0.45947754
happy,0.78561777
neutral,0.3935436
neutral,0.49409974
neutral,0.36794356
neutral,0.396744
neutral,0.44985944
neutral,0.42817125
neutral,0.4238713
happy,0.406591
happy,0.8775934
neutral,0.4295192
happy,0.61574334
happy,0.78016126
neutral,0.69714385
neutral,0.48734376
neutral,0.5190759
neutral,0.5700685
neutral,0.71793264
neutral,0.71722895
neutral,0.6649293
surprised,0.4059415
neutral,0.52721214
neutral,0.4429307
neutral,0.4232311
happy,0.37776113
happy,0.41297454
happy,0.48638663
happy,0.5303171
happy,0.48327821
happy,0.46857035
happy,0.6646435
happy,0.3864811
happy,0.39494407
happy,0.5166394
neutral,0.59687954
neutral,0.6344674
neutral,0.5041238
scared,0.39791697
neutral,0.30163148
scared,0.23227328
neutral,0.4659694
neutral,0.63880265
neutral,0.72091526
neutral,0.6243623
neutral,0.59418887
neutral,0.6153064
neutral,0.5862664
neutral,0.39736176
neutral,0.45578945
happy,0.42388722
neutral,0.7203004
neutral,0.65835005
neutral,0.70602745
neutral,0.5662328
neutral,0.6463954
neutral,0.6163527
happy,0.40841103
neutral,0.56433934
neutral,0.5992732
neutral,0.76918817
neutral,0.69268143
neutral,0.7051262
neutral,0.6095054
neutral,0.6755739
neutral,0.6181142
neutral,0.64496565
neutral,0.59703064
happy,0.34943974
neutral,0.6083761
happy,0.43465915
neutral,0.4749692
neutral,0.528228
neutral,0.48430863
happy,0.5534301
happy,0.7744341
neutral,0.26260152
happy,0.65627015
happy,0.86968565
happy,0.91653633
happy,0.8011168
happy,0.86292624
happy,0.93332505
happy,0.9763291
neutral,0.41262758
happy,0.9529303
happy,0.9805319
happy,0.97138894
happy,0.96220237
happy,0.9763781
happy,0.9596742
happy,0.9700116
happy,0.9560046
neutral,0.5640236
neutral,0.62854445
neutral,0.4758945
neutral,0.63119835
neutral,0.6899426
neutral,0.6655803
neutral,0.6951541
neutral,0.5439947
neutral,0.61451346
neutral,0.6577761
neutral,0.62228274
neutral,0.58424944
neutral,0.6837069
neutral,0.6837069
neutral,0.47542572
neutral,0.5399873
neutral,0.5416852
neutral,0.5418114
neutral,0.632716
neutral,0.5270456
sad,0.34436274
neutral,0.5364943
neutral,0.64331293
neutral,0.5504861
neutral,0.6127272
neutral,0.54835826
neutral,0.61586833
neutral,0.66467124
neutral,0.6268606
neutral,0.63170815
neutral,0.64728105
neutral,0.64663047
sad,0.46016043
neutral,0.5270841
neutral,0.4853448
neutral,0.5746924
neutral,0.61524445
neutral,0.47922438
neutral,0.57157177
sad,0.40904632
happy,0.8331988
neutral,0.38879794
neutral,0.38171276
happy,0.4636086
neutral,0.51385826
happy,0.60795176
happy,0.45691448
neutral,0.4410298
happy,0.6129716
happy,0.6537301
neutral,0.3999506
neutral,0.40364426
neutral,0.73323536
neutral,0.69554526
neutral,0.62681973
happy,0.49215785
neutral,0.5718781
neutral,0.6106428
happy,0.48229915
happy,0.5132737
happy,0.42263508
happy,0.57326543
happy,0.84553385
happy,0.8213515
neutral,0.45626575
happy,0.8728069
happy,0.9368486
happy,0.9461027
happy,0.9703396
happy,0.98215723
happy,0.9860336
happy,0.9846051
happy,0.9814331
happy,0.9874018
happy,0.98709756
happy,0.98553616
sad,0.38453525
happy,0.98117024
happy,0.9860642
happy,0.9746011
happy,0.98673135
happy,0.98812556
happy,0.9852601
happy,0.96254724
happy,0.37696758
happy,0.94824064
happy,0.9375513
happy,0.9304644
happy,0.94818145
happy,0.962389
happy,0.95841753
happy,0.9547537
happy,0.33307117
happy,0.8850402
happy,0.94683224
happy,0.25783932
happy,0.38176236
happy,0.28640622
happy,0.90658
happy,0.896666
happy,0.88490367
happy,0.48617086
happy,0.4068902
happy,0.47929397
happy,0.89452744
happy,0.95163614
neutral,0.47825435
happy,0.89977396
happy,0.89976037
happy,0.96116334
happy,0.97457856
happy,0.97351086
happy,0.94969505
happy,0.9654098
happy,0.9490682
happy,0.96116394
happy,0.92042327
happy,0.9529791
happy,0.8233704
happy,0.84573257
neutral,0.42286205
neutral,0.42327407
sad,0.23268606
happy,0.9238504
happy,0.9644979
neutral,0.5010575
neutral,0.44933942
neutral,0.43494526
neutral,0.49550423
happy,0.5616525
neutral,0.48207343
sad,0.4942288
happy,0.37749445
neutral,0.43218985
happy,0.28803232
happy,0.44828072
neutral,0.40006158
happy,0.3344009
happy,0.6250459
happy,0.40689588
neutral,0.35681078
neutral,0.35972866
happy,0.34045774
happy,0.51548976
neutral,0.38904256
neutral,0.41860193
neutral,0.68539196
neutral,0.54810756
neutral,0.7818545
neutral,0.78283936
neutral,0.83951527
neutral,0.83794934
neutral,0.8814592
neutral,0.6121707
neutral,0.72895104
neutral,0.69321966
neutral,0.35860643
neutral,0.3671587
neutral,0.36858022
neutral,0.39060646
neutral,0.34427473
neutral,0.3392769
scared,0.33633062
neutral,0.35840613
neutral,0.5550788
neutral,0.38662866
neutral,0.49387285
neutral,0.46046987
neutral,0.35434034
neutral,0.51513004
sad,0.45673326
sad,0.3960281
sad,0.32082585
sad,0.3171116
scared,0.47989002
sad,0.35448307
neutral,0.55199444
neutral,0.66719115
neutral,0.6708732
neutral,0.7205067
neutral,0.69103587
neutral,0.37212095
neutral,0.7434467
neutral,0.38509333
neutral,0.38159546
neutral,0.8064944
surprised,0.41848183
neutral,0.36201173
neutral,0.39222953
neutral,0.7302582
neutral,0.72167206
happy,0.3332148
neutral,0.8792491
neutral,0.6257037
neutral,0.2947319
neutral,0.3354219
happy,0.45849007
neutral,0.45565057
neutral,0.49989578
neutral,0.36294037
neutral,0.46118355
neutral,0.45597625
neutral,0.43242314
neutral,0.38885188
neutral,0.4084233
neutral,0.42725062
neutral,0.53490657
neutral,0.43666595
neutral,0.45364484
neutral,0.46341282
neutral,0.4080905
neutral,0.5258513
neutral,0.6055085
neutral,0.5228925
neutral,0.47755203
neutral,0.65487075
neutral,0.6233942
neutral,0.60749406
neutral,0.60134053
neutral,0.4914748
neutral,0.62370616
